🕘️更新时间,26/01/09-12:46:29

📺央视频道,#genre#
CCTV-1,http://38.75.136.137:98/gslb/dsdqca/cctv1hd.m3u8?auth=test20251009
CCTV-1,http://keke.kandiantv.cn/migu720p.php?id=608807420
CCTV-1,http://118.180.142.247:65535/udp/239.255.30.101:8231
CCTV-1,http://115.58.216.71:4000/rtp/225.1.4.73:1102
CCTV-1,http://114.254.34.19:18888/rtp/239.3.1.129:8008
CCTV-1,http://223.198.243.134:4000/rtp/239.253.64.120:5140
CCTV-1,http://115.171.80.52:1688/rtp/225.1.8.33:8002
CCTV-1,http://121.29.141.237:4022/rtp/239.253.92.83:8012
CCTV-1,http://115.171.80.52:1688/rtp/225.1.8.81:8176
CCTV-1,http://220.176.218.76:9000/udp/239.252.219.200:5140
CCTV-2,http://38.75.136.137:98/gslb/dsdqca/cctv2hd.m3u8?auth=test20251009
CCTV-2,http://27.41.245.32:801/hls/2/index.m3u8
CCTV-2,http://111.162.204.145:8686/rtp/225.1.1.133:5002
CCTV-2,http://121.29.141.237:4022/rtp/239.253.92.190:6065
CCTV-2,http://118.180.142.247:65535/udp/239.255.30.179:8231
CCTV-2,http://115.171.80.52:1688/rtp/225.1.8.2:8084
CCTV-2,http://115.58.216.71:4000/rtp/225.1.4.74:1103
CCTV-2,http://114.254.34.19:18888/rtp/239.3.1.60:8084
CCTV-2,http://223.198.243.134:4000/rtp/239.253.64.195:5140
CCTV-2,http://220.176.218.76:9000/udp/239.252.220.183:5140
CCTV-3,http://23.237.228.134/live5/CCTV3.m3u8
CCTV-3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV-3,http://yp.qqqtv.top/1/api.php?id=CCTV-3HD&auth=666858
CCTV-3,http://38.75.136.137:98/gslb/dsdqca/cctv3hd.m3u8?auth=test20251009
CCTV-3,http://1.24.39.180:9003/hls/3/index.m3u8
CCTV-3,http://keke.kandiantv.cn/migu720p.php?id=624878271
CCTV-3,http://118.180.142.247:65535/udp/239.255.29.12:8231
CCTV-3,http://144.255.16.69:6688/udp/239.21.2.45:5002
CCTV-3,http://115.58.216.71:4000/rtp/225.1.4.158:1194
CCTV-3,http://223.198.243.134:4000/rtp/239.253.64.244:5140
CCTV-4,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=testpub
CCTV-4,http://yp.qqqtv.top/1/api.php?id=CCTV-4HD&auth=666858
CCTV-4,http://38.75.136.137:98/gslb/dsdqca/cctv4hd.m3u8?auth=test20251009
CCTV-4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009
CCTV-4,http://keke.kandiantv.cn/migu720p.php?id=608807416
CCTV-4,http://111.162.204.145:8686/rtp/225.1.1.150:5002
CCTV-4,http://121.29.141.237:4022/rtp/239.253.92.251:6141
CCTV-4,http://183.236.43.98:4013/udp/239.77.1.163:5146
CCTV-4,http://144.255.16.69:6688/udp/239.21.1.154:5002
CCTV-4,http://114.100.195.156:4022/rtp/238.1.78.236:7760
CCTV-5,http://23.237.228.134/live5/CCTV5.m3u8
CCTV-5,http://23.237.228.134/live5/CCTV5p.m3u8
CCTV-5,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009
CCTV-5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub
CCTV-5,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub
CCTV-5,http://38.75.136.137:98/gslb/dsdqca/cctv5hd.m3u8?auth=test20251009
CCTV-5,http://yp.qqqtv.top/1/api.php?id=CCTV-5%2BHD&auth=666858
CCTV-5,http://27.41.245.32:801/hls/5/index.m3u8
CCTV-5,http://218.17.33.178:53290/tsfile/live/1017_1.m3u8
CCTV-5,http://111.162.204.145:8686/rtp/225.1.1.160:5002
CCTV-6,http://yp.qqqtv.top/1/api.php?id=CCTV-6HD&auth=666858
CCTV-6,http://38.75.136.137:98/gslb/dsdqca/cctv6hd.m3u8?auth=test20251009
CCTV-6,http://38.75.136.137:98/gslb/dsdqbv/cctv6hd.m3u8?auth=test20251009
CCTV-6,http://27.41.245.32:801/hls/6/index.m3u8
CCTV-6,http://keke.kandiantv.cn/migu720p.php?id=624878396
CCTV-6,http://121.29.141.237:4022/rtp/239.253.92.193:6058
CCTV-6,http://111.162.204.145:8686/rtp/225.1.1.195:5002
CCTV-6,http://144.255.16.69:6688/udp/239.21.2.47:5002
CCTV-6,http://118.180.142.247:65535/udp/239.255.29.14:8231
CCTV-6,http://27.184.29.38:12312/rtp/239.254.201.154:7207
CCTV-7,http://38.75.136.137:98/gslb/dsdqbv/cctv7hd.m3u8?auth=test20251009
CCTV-7,http://yp.qqqtv.top/1/api.php?id=CCTV-7HD&auth=666858
CCTV-7,http://38.75.136.137:98/gslb/dsdqpub/cctv7hd.m3u8?auth=testpub
CCTV-7,http://38.75.136.137:98/gslb/dsdqca/cctv7hd.m3u8?auth=test20251009
CCTV-7,http://27.41.245.32:801/hls/7/index.m3u8
CCTV-7,http://keke.kandiantv.cn/migu720p.php?id=673168121
CCTV-7,http://121.29.141.237:4022/rtp/239.253.92.194:6059
CCTV-7,http://111.162.204.145:8686/rtp/225.1.1.138:5002
CCTV-7,http://144.255.16.69:6688/udp/239.21.1.152:5002
CCTV-7,http://115.58.216.71:4000/rtp/225.1.4.76:1105
CCTV-8,http://38.75.136.137:98/gslb/dsdqbv/cctv8hd.m3u8?auth=test20251009
CCTV-8,http://keke.kandiantv.cn/migu720p.php?id=624878356
CCTV-8,http://121.29.141.237:4022/rtp/239.253.92.195:6060
CCTV-8,http://118.180.142.247:65535/udp/239.255.29.15:8231
CCTV-8,http://111.162.204.145:8686/rtp/225.1.1.196:5002
CCTV-8,http://1.24.39.180:9003/hls/8/index.m3u8
CCTV-8,http://144.255.16.69:6688/udp/239.21.2.48:5002
CCTV-8,http://115.58.216.71:4000/rtp/225.1.4.161:1197
CCTV-8,http://27.184.29.38:12312/rtp/239.254.201.155:7208
CCTV-8,http://114.254.34.19:18888/rtp/239.3.1.175:8001
CCTV-9,http://yp.qqqtv.top/1/api.php?id=CCTV-9HD&auth=666858
CCTV-9,http://keke.kandiantv.cn/migu720p.php?id=673168140
CCTV-9,http://121.29.141.237:4022/rtp/239.253.92.107:6020
CCTV-9,http://144.255.16.69:6688/udp/239.21.1.153:5002
CCTV-9,http://111.162.204.145:8686/rtp/225.1.1.119:5002
CCTV-9,http://118.180.142.247:65535/udp/239.255.30.180:8231
CCTV-9,http://115.58.216.71:4000/rtp/225.1.4.77:1106
CCTV-9,http://115.171.80.52:1688/rtp/225.1.8.9:8112
CCTV-9,http://114.100.195.156:4022/rtp/238.1.78.240:7792
CCTV-9,http://106.59.2.187:55555/udp/239.200.200.106:8112
