Name: CCTV-1, URL: http://144.255.16.69:6688/udp/239.21.1.120:5002, From: subscribe, IPv_Type: ipv4, Location: 中国-山东-济南, ISP: 电信, Date: None, Delay: 498 ms, Speed: 0.61 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://27.184.29.38:12312/rtp/239.254.200.45:8008, From: subscribe, IPv_Type: ipv4, Location: 中国-河北-石家庄, ISP: 电信, Date: None, Delay: 501 ms, Speed: 0.77 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://115.171.80.52:1688/rtp/225.1.8.81:8176, From: subscribe, IPv_Type: ipv4, Location: 中国-北京-北京, ISP: 电信, Date: None, Delay: 514 ms, Speed: 0.68 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://115.171.80.52:1688/rtp/225.1.8.33:8002, From: subscribe, IPv_Type: ipv4, Location: 中国-北京-北京, ISP: 电信, Date: None, Delay: 544 ms, Speed: 0.63 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://38.75.136.137:98/gslb/dsdqca/cctv1hd.m3u8?auth=test20251009, From: subscribe, IPv_Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Date: None, Delay: 238 ms, Speed: 18.63 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://114.100.195.156:4022/rtp/238.1.78.166:7200, From: subscribe, IPv_Type: ipv4, Location: 中国-安徽-马鞍山, ISP: 电信, Date: None, Delay: 524 ms, Speed: 0.89 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://115.58.216.71:4000/rtp/225.1.4.73:1102, From: subscribe, IPv_Type: ipv4, Location: 中国-河南-平顶山, ISP: 联通, Date: None, Delay: 507 ms, Speed: 0.92 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://115.171.216.84:4000/rtp/225.1.8.33:8002, From: subscribe, IPv_Type: ipv4, Location: 中国-北京-北京, ISP: 电信, Date: None, Delay: 515 ms, Speed: 0.91 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://223.198.243.134:4000/rtp/239.253.64.120:5140, From: subscribe, IPv_Type: ipv4, Location: 中国-海南-三亚, ISP: 电信, Date: None, Delay: 471 ms, Speed: 0.79 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://115.171.216.84:4000/rtp/225.1.8.81:8176, From: subscribe, IPv_Type: ipv4, Location: 中国-北京-北京, ISP: 电信, Date: None, Delay: 542 ms, Speed: 0.86 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://58.48.104.165:4022/rtp/239.254.96.96:8550, From: subscribe, IPv_Type: ipv4, Location: 中国-湖北-武汉, ISP: 电信, Date: None, Delay: 502 ms, Speed: 0.40 M/s, Resolution: 1920x1080
Name: CCTV-1, URL: http://115.171.216.188:4000/rtp/225.1.8.1:8008, From: subscribe, IPv_Type: ipv4, Location: 中国-北京-北京, ISP: 电信, Date: None, Delay: 507 ms, Speed: 0.92 M/s, Resolution: 1920x1080
